"Timestamp","What is your age range?","How often do you travel per year?","Would you like to choose the guide yourself by seeing the ratings, or would you like the best one to be assigned based on our recommendation?","Your preferred method of payment:","Would you like to have the option to join in a pre planned tour with other site users?","Would you like to have the option to buy tour gears from our website?","Would you like to have a credit option that gives you discounts the more you use our site?","How important is security during the trip to you?","Would you like to have the option to use GPS during your trip to ensure precise security enforcements if required?","Would you like there to be a blog for place reviews?","Would you like to have the option to see if the writer of the blog is available to guide you on your desired date?","Please add any other suggestion that you may have"
"2021/08/21 1:19:22 AM GMT+6","36-50","3","Own choice","Direct online payment;Option 3","Maybe","No","Yes","4","No","Yes","Yes",""
"2021/08/21 1:23:08 AM GMT+6","36-50","4","Site recommendation","Direct online payment;Option 3","No","No","Yes","3","No","Yes","Yes",""
"2021/08/21 1:27:50 AM GMT+6","26-35","5","Site recommendation","Direct online payment","No","No","Yes","5","No","Yes","Yes",""
"2021/08/21 1:29:18 AM GMT+6","26-35","2","Own choice","Direct online payment","No","No","Yes","4","No","Yes","Yes",""
"2021/08/21 1:32:31 AM GMT+6","26-35","2","Site recommendation","Direct online payment","No","No","Yes","4","Yes","Yes","Yes",""
"2021/08/21 1:34:43 AM GMT+6","26-35","3","Site recommendation","Direct online payment","No","No","Yes","4","Yes","Yes","Yes",""
"2021/08/21 1:36:57 AM GMT+6","18-25","5","Both","Direct online payment","No","No","Yes","4","No","Doesn't matter","Yes",""
"2021/08/21 1:41:16 AM GMT+6","26-35","3","Site recommendation","Direct online payment;Option 3","No","No","Yes","4","No","Yes","Yes",""
"2021/08/21 1:42:25 AM GMT+6","26-35","4","Site recommendation","Direct online payment;Option 3","No","No","Yes","3","Yes","Yes","Yes",""
"2021/08/21 1:45:19 AM GMT+6","26-35","3","Site recommendation","Direct online payment;Option 3","No","No","Yes","4","No","Yes","Yes","There should be a review option of a Guide. It will help us to choose one"
"2021/08/21 1:46:27 AM GMT+6","36-50","3","Site recommendation","Direct online payment;Option 3","No","No","Yes","3","No","Yes","Yes",""
"2021/08/21 1:47:08 AM GMT+6","26-35","3","Site recommendation","Direct online payment;Option 3","No","No","Yes","4","Yes","Yes","Yes",""
"2021/08/21 1:48:28 AM GMT+6","26-35","3","Site recommendation","Direct online payment;Option 3","No","No","Yes","4","No","Yes","Yes",""
"2021/08/21 1:51:16 AM GMT+6","18-25","3","Site recommendation","Direct online payment;Paying to the guide;Option 3","No","No","Yes","4","No","Yes","Yes",""
"2021/08/21 1:53:06 AM GMT+6","18-25","3","Site recommendation","Direct online payment;Option 3","No","No","Yes","4","No","Yes","Yes",""
"2021/08/21 2:02:18 AM GMT+6","18-25","3","Site recommendation","Direct online payment;Paying to the guide;Option 3","No","Maybe","Yes","4","No","Yes","Yes",""
"2021/08/21 2:02:43 AM GMT+6","18-25","3","Site recommendation","Direct online payment","No","No","Yes","4","No","Yes","Yes",""
"2021/08/21 2:04:00 AM GMT+6","18-25","5","Site recommendation","Direct online payment","Maybe","Maybe","Yes","4","Yes","Yes","Yes",""
"2021/08/21 2:04:49 AM GMT+6","18-25","3","Own choice","Direct online payment","Maybe","","Maybe","4","No","Yes","Yes",""
"2021/08/21 2:07:15 AM GMT+6","18-25","4","Both","Direct online payment;Paying to the guide","Maybe","No","Yes","4","Yes","Yes","Yes",""
"2021/08/21 2:09:04 AM GMT+6","18-25","3","Both","Direct online payment;Paying to the guide","Maybe","No","Yes","4","No","Yes","Yes",""
"2021/08/21 2:12:40 AM GMT+6","18-25","3","Site recommendation","Direct online payment;Option 3","Maybe","No","Yes","2","No","Yes","Yes",""
"2021/08/21 2:13:56 AM GMT+6","26-35","2","Both","Direct online payment;Option 3","Maybe","No","Yes","4","No","Yes","Yes",""
"2021/08/21 2:15:39 AM GMT+6","26-35","2","Both","Direct online payment;Option 3","No","No","Yes","4","No","Yes","Yes",""
"2021/08/21 2:16:43 AM GMT+6","26-35","2","Site recommendation","Direct online payment;Option 3","No","No","Yes","4","No","Yes","Yes",""
"2021/08/21 2:17:31 AM GMT+6","26-35","2","Site recommendation","Direct online payment;Option 3","Maybe","No","Yes","4","Yes","Yes","Yes",""
"2021/08/21 2:18:24 AM GMT+6","26-35","1","Site recommendation","Direct online payment;Option 3","Maybe","No","Yes","4","Yes","Yes","Yes",""
"2021/08/21 2:21:06 AM GMT+6","26-35","2","Own choice","Direct online payment;Option 3","Yes","No","Yes","4","Yes","Yes","Yes",""
"2021/08/21 2:21:51 AM GMT+6","26-35","2","","Direct online payment;Option 3","Yes","No","Maybe","4","No","Yes","Yes",""
"2021/08/21 2:23:41 AM GMT+6","26-35","2","Own choice","Direct online payment;Paying to the guide;Option 3","No","No","Yes","4","No","Yes","Yes",""
"2021/08/21 2:24:14 AM GMT+6","18-25","2","Site recommendation","Direct online payment;Option 3","No","Maybe","Yes","4","No","Doesn't matter","Yes",""
"2021/08/21 2:24:43 AM GMT+6","18-25","2","Both","Direct online payment;Paying to the guide;Option 3","No","No","Yes","4","No","Yes","Yes",""
"2021/08/21 2:32:02 AM GMT+6","18-25","2","Site recommendation","Direct online payment;Option 3","Maybe","Maybe","Yes","5","No","Yes","Yes",""
"2021/08/21 2:32:33 AM GMT+6","18-25","2","Site recommendation","Direct online payment;Paying to the guide","Maybe","No","Yes","4","Yes","Yes","Yes",""
"2021/08/21 2:33:35 AM GMT+6","18-25","2","Site recommendation","Direct online payment;Paying to the guide","Maybe","No","Yes","5","Yes","Yes","Yes",""
"2021/08/21 2:37:30 AM GMT+6","18-25","2","Site recommendation","Direct online payment;Paying to the guide","Maybe","No","Yes","4","Yes","Yes","Yes",""
"2021/08/21 2:45:50 AM GMT+6","18-25","2","Site recommendation","Direct online payment;Paying to the guide","Maybe","No","Yes","5","Yes","Yes","Yes",""
"2021/08/21 11:27:36 AM GMT+6","18-25","1","Site recommendation","Paying to the guide","Maybe","Yes","Yes","5","Yes","Yes","Yes"," food to be added in the whole tour package"
